department,position,scale_point,annual_rat(€)
LIBRARY,SUB_LIBRARIAN,1,"64830"
LIBRARY,SUB_LIBRARIAN,2,"68413"
LIBRARY,SUB_LIBRARIAN,3,"71505"
LIBRARY,SUB_LIBRARIAN,4,"74734"
LIBRARY,SUB_LIBRARIAN,5,"77824"
LIBRARY,SUB_LIBRARIAN,6,"80106"
LIBRARY,SUB_LIBRARIAN,7,"83065"
LIBRARY,SUB_LIBRARIAN,8,"86613"
LIBRARY,SUB_LIBRARIAN,9,"90308"
LIBRARY,SUB_LIBRARIAN,10,"93715"
LIBRARY,SUB_LIBRARIAN,11,"97127"
LIBRARY,SUB_LIBRARIAN,12,"100531"
LIBRARY,SUB_LIBRARIAN,13,"102234"
LIBRARY,SUB_LIBRARIAN,14,"104052"
LIBRARY,SUB_LIBRARIAN,15,"106850"

LIBRARY,ASSISTANT_LIBRARIAN_2,1,"58657"
LIBRARY,ASSISTANT_LIBRARIAN_2,2,"60174"
LIBRARY,ASSISTANT_LIBRARIAN_2,3,"61704"
LIBRARY,ASSISTANT_LIBRARIAN_2,4,"63240"
LIBRARY,ASSISTANT_LIBRARIAN_2,5,"64776"
LIBRARY,ASSISTANT_LIBRARIAN_2,6,"66317"
LIBRARY,ASSISTANT_LIBRARIAN_2,7,"68510"
LIBRARY,ASSISTANT_LIBRARIAN_2,8,"72779"
LIBRARY,ASSISTANT_LIBRARIAN_2,9,"77291"
LIBRARY,ASSISTANT_LIBRARIAN_2,10,"79691"
LIBRARY,ASSISTANT_LIBRARIAN_2,11,"83397"

LIBRARY,ASSISTANT_LIBRARIAN_1,1,"44751"
LIBRARY,ASSISTANT_LIBRARIAN_1,2,"47050"
LIBRARY,ASSISTANT_LIBRARIAN_1,3,"49364"
LIBRARY,ASSISTANT_LIBRARIAN_1,4,"51269"
LIBRARY,ASSISTANT_LIBRARIAN_1,5,"53605"
LIBRARY,ASSISTANT_LIBRARIAN_1,6,"55126"
LIBRARY,ASSISTANT_LIBRARIAN_1,7,"56632"
LIBRARY,ASSISTANT_LIBRARIAN_1,8,"57745"
LIBRARY,ASSISTANT_LIBRARIAN_1,9,"59104"
LIBRARY,ASSISTANT_LIBRARIAN_1,10,"60468"
LIBRARY,ASSISTANT_LIBRARIAN_1,11,"61415"
LIBRARY,ASSISTANT_LIBRARIAN_1,12,"62371"
LIBRARY,ASSISTANT_LIBRARIAN_1,13,"64409"
LIBRARY,ASSISTANT_LIBRARIAN_1,14,"66805"
LIBRARY,ASSISTANT_LIBRARIAN_1,15,"69293"

LIBRARY,SENIOR_LIBRARY_ASSISTANT,1,"39337"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,2,"39808"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,3,"40882"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,4,"41881"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,5,"42439"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,6,"44325"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,7,"45156"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,8,"46242"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,9,"47587"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,10,"48932"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,11,"50539"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,12,"51945"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,13,"53657"

LIBRARY,LIBRARY_ASSISTANT,1,"33703"
LIBRARY,LIBRARY_ASSISTANT,2,"35429"
LIBRARY,LIBRARY_ASSISTANT,3,"36934"
LIBRARY,LIBRARY_ASSISTANT,4,"37881"
LIBRARY,LIBRARY_ASSISTANT,5,"39133"
LIBRARY,LIBRARY_ASSISTANT,6,"40055"
LIBRARY,LIBRARY_ASSISTANT,7,"41318"
LIBRARY,LIBRARY_ASSISTANT,8,"43868"
LIBRARY,LIBRARY_ASSISTANT,9,"45138"
LIBRARY,LIBRARY_ASSISTANT,10,"45798"

LIBRARY,LIBRARY_ATTENDANT,1,"33403"
LIBRARY,LIBRARY_ATTENDANT,2,"34054"
LIBRARY,LIBRARY_ATTENDANT,3,"36605"
LIBRARY,LIBRARY_ATTENDANT,4,"36966"
LIBRARY,LIBRARY_ATTENDANT,5,"36989"
LIBRARY,LIBRARY_ATTENDANT,6,"37352"
LIBRARY,LIBRARY_ATTENDANT,7,"37714"
LIBRARY,LIBRARY_ATTENDANT,8,"38072"
LIBRARY,LIBRARY_ATTENDANT,9,"38428"
LIBRARY,LIBRARY_ATTENDANT,10,"38443"
LIBRARY,LIBRARY_ATTENDANT,11,"38970"
LIBRARY,LIBRARY_ATTENDANT,12,"39512"
LIBRARY,LIBRARY_ATTENDANT,13,"40039"
LIBRARY,LIBRARY_ATTENDANT,14,"40230"

INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_3,1,"67132"
INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_3,2,"79088"
INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_3,3,"82103"
INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_3,4,"86389"
INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_3,5,"90697"
INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_3,6,"95004"
INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_3,7,"99296"
INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_3,8,"103583"
INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_3,9,"107875"

INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_2,1,"53677"
INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_2,2,"55287"
INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_2,3,"56903"
